
#ALUMNO: ANGEL, GINER VIDAL
#EJERCICIO 3.8


Para un valor de 0.0000001 como distancia mínima de desplazamiento antes de considerarse la k como solución, obtenemos 2 k:

k= 0.49999999999999956, con un máximo de 2 iteraciones, se detiene el punto (0.9999999999999982, 1.0)

('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 61, ' Punto(', 0.9998027295555264, 0.9995975750606211)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 62, ' Punto(', 0.9998028673833357, 0.9995978561981265)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 63, ' Punto(', 0.9998030029286045, 0.9995981326798025)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 64, ' Punto(', 0.9998031362642077, 0.9995984046542955)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 65, ' Punto(', 0.999803267459608, 0.9995986722632922)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 66, ' Punto(', 0.9998033965810652, 0.9995989356419461)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 67, ' Punto(', 0.9998035236918293, 0.9995991949192714)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 68, ' Punto(', 0.9998036488523199, 0.9995994502185085)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 69, ' Punto(', 0.9998037721202911, 0.9995997016574619)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 70, ' Punto(', 0.9998038935509866, 0.9995999493488148)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 71, ' Punto(', 0.999804013197282, 0.9996001934004201)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 72, ' Punto(', 0.9998041311098177, 0.999600433915572)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 73, ' Punto(', 0.9998042473371231, 0.9996006709932583)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 74, ' Punto(', 0.999804361925732, 0.9996009047283962)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 75, ' Punto(', 0.9998044749202896, 0.9996011352120511)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 76, ' Punto(', 0.9998045863636534, 0.9996013625316417)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 77, ' Punto(', 0.9998046962969873, 0.9996015867711318)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 78, ' Punto(', 0.9998048047598488, 0.9996018080112091)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 79, ' Punto(', 0.9998049117902716, 0.999602026329453)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 80, ' Punto(', 0.9998050174248426, 0.9996022418004918)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 81, ' Punto(', 0.999805121698774, 0.9996024544961496)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 82, ' Punto(', 0.9998052246459711, 0.9996026644855849)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 83, ' Punto(', 0.999805326299096, 0.9996028718354204)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 84, ' Punto(', 0.9998054266896276, 0.9996030766098652)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 85, ' Punto(', 0.9998055258479175, 0.9996032788708294)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 86, ' Punto(', 0.9998056238032434, 0.9996034786780322)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 87, ' Punto(', 0.999805720583859, 0.9996036760891038)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 88, ' Punto(', 0.9998058162170405, 0.9996038711596815)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 89, ' Punto(', 0.9998059107291316, 0.9996040639434999)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 90, ' Punto(', 0.9998060041455852, 0.9996042544924765)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 91, ' Punto(', 0.9998060964910029, 0.9996044428567928)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 92, ' Punto(', 0.9998061877891727, 0.9996046290849703)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 93, ' Punto(', 0.9998062780631041, 0.9996048132239423)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 94, ' Punto(', 0.9998063673350612, 0.9996049953191232)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 95, ' Punto(', 0.9998064556265955, 0.999605175414472)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 96, ' Punto(', 0.999806542958575, 0.9996053535525545)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 97, ' Punto(', 0.9998066293512128, 0.9996055297746008)
